"gene_id","WT.1_count","WT.2_count","WT.3_count","KO.1_count","KO.2_count","KO.3_count","WT.12h.1_count","WT.12h.2_count","WT.12h.3_count","WT.24h.1_count","WT.24h.2_count","WT.24h.3_count","KO.12h.1_count","KO.12h.2_count","KO.12h.3_count","KO.24h.1_count","KO.24h.2_count","KO.24h.3_count"
"C2R79_RS05880",631,584,1052,671,942,619,3823,2359,2764,1413,1459,1675,1976,1928,2194,2005,1525,1742
"C2R79_RS05885",246,223,401,276,429,269,1595,890,1073,828,908,940,611,669,726,795,611,640
"C2R79_RS05890",17,14,25,23,38,34,72,30,68,23,21,21,36,33,48,25,20,32
"C2R79_RS05895",357,381,621,467,637,426,4481,2713,3036,1566,1542,1754,1952,1891,2302,2450,1766,2011
"C2R79_RS05900",253,280,452,380,536,343,1541,1013,1170,495,482,531,672,590,800,549,388,514
"C2R79_RS05905",13,14,21,40,62,22,457,274,385,128,101,153,200,162,250,99,77,105
"C2R79_RS05915",388,364,587,363,439,336,1864,1112,1455,859,820,916,752,711,831,765,451,522
"C2R79_RS05920",478,421,721,376,487,286,7222,4545,5144,4870,4965,5811,3039,3097,3399,4939,4055,3904
"C2R79_RS05925",271,276,456,217,272,204,1741,981,1173,425,377,443,703,683,863,572,465,512
"C2R79_RS05940",142,164,281,110,156,121,29,25,22,78,38,54,16,17,18,41,17,29
"C2R79_RS05945",28,48,49,27,35,21,7,9,6,14,14,13,2,7,5,12,8,6
"C2R79_RS05950",4055,3872,7112,3277,4712,3209,22140,15854,16833,14021,12736,15302,7794,7407,8491,10785,9675,9031
"C2R79_RS05955",376,322,602,416,541,365,5893,3481,4426,4630,4627,5067,2271,2015,2506,4512,3369,3576
"C2R79_RS05960",479,440,756,489,720,462,1691,878,1064,1144,1166,1269,617,525,686,1130,643,859
"C2R79_RS05965",417,386,679,192,250,139,4735,2655,3549,3230,3373,3772,452,355,436,536,387,445
"C2R79_RS05970",68726,64739,118540,112538,156817,104454,187008,114581,136557,198654,200512,223028,61627,55093,71660,90293,61576,71435
"C2R79_RS05975",192,211,388,349,495,319,2002,1440,1491,857,791,887,999,816,1039,628,527,503
"C2R79_RS05980",253,229,433,442,639,349,798,540,624,449,531,598,480,458,498,665,605,549
"C2R79_RS05985",70,70,123,38,64,53,459,285,358,199,134,165,273,196,268,199,118,165
"C2R79_RS05990",14,26,36,33,39,37,127,73,93,92,80,106,73,49,89,79,45,52
"C2R79_RS05995",0,0,0,1,0,2,0,0,0,2,5,3,1,0,1,2,0,0
"C2R79_RS06000",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6
"C2R79_RS06005",38,53,58,59,98,58,262,162,208,86,96,102,130,91,118,87,66,93
"C2R79_RS06015",730,705,1283,1341,1936,1311,4139,2279,2865,2362,2526,3003,1834,1719,1920,2841,2030,2386
"C2R79_RS06020",213,194,347,374,509,295,299,177,190,217,232,307,152,130,157,222,110,166
"C2R79_RS06025",889,858,1614,1020,1406,972,2585,1702,1914,1508,1581,1743,932,810,951,1199,1096,1049
"C2R79_RS06030",228,228,399,576,689,547,990,512,687,529,454,603,509,399,544,642,395,570
"C2R79_RS06035",163,162,257,191,225,148,1654,927,1120,874,784,943,646,590,840,826,557,698
"C2R79_RS06040",622,644,1161,883,1206,788,898,590,693,848,735,900,429,413,448,351,243,321
"C2R79_RS06045",3569,3551,6234,2511,3637,2437,1686,1194,1290,1810,1422,1602,842,689,814,1265,927,1083
"C2R79_RS06070",162,158,264,143,214,123,1450,944,1196,1241,1250,1432,643,589,694,931,804,894
"C2R79_RS06075",119,119,266,86,117,83,1413,880,1106,1209,1157,1240,464,411,524,559,444,465
"C2R79_RS06080",25,19,32,25,42,16,90,62,79,17,14,12,49,47,47,18,16,21
"C2R79_RS06085",30,10,37,39,44,25,588,318,428,107,103,121,191,132,191,77,80,86
"C2R79_RS06090",40,46,65,39,70,49,361,190,267,81,91,100,134,98,154,86,64,57
"C2R79_RS06095",80,65,146,129,196,114,429,293,349,172,140,181,156,135,186,127,94,86
"C2R79_RS06100",48,45,87,67,99,54,521,336,279,100,112,92,163,126,194,108,82,88
"C2R79_RS06105",35,48,70,56,72,41,1088,600,818,137,139,162,383,277,377,146,124,118
"C2R79_RS06110",118,117,200,200,264,159,4556,2562,3139,1170,1214,1394,1419,1300,1529,921,667,702
"C2R79_RS06115",309,350,564,566,775,491,2950,1663,2088,1465,1533,1523,978,848,1110,1038,784,868
"C2R79_RS06120",149,170,284,234,351,252,1019,536,661,555,445,527,331,298,402,390,273,320
"C2R79_RS06125",68,88,127,124,199,123,409,218,255,177,220,181,140,102,133,124,70,82
"C2R79_RS06130",524,471,843,720,1028,676,5413,3424,3819,2910,3019,3237,1888,1658,2030,1726,1405,1554
"C2R79_RS06135",242,268,449,274,467,256,2012,1339,1564,1195,1234,1296,743,589,825,674,492,585
"C2R79_RS06140",19,8,16,27,42,30,202,109,162,73,90,77,93,82,116,79,52,65
"C2R79_RS06145",71,59,126,162,194,138,3095,1622,2142,1049,1060,1071,1100,955,1320,1018,765,883
"C2R79_RS06150",234,233,363,367,531,361,5955,3635,4150,2566,2678,3358,2023,1915,2611,2616,2034,2369
"C2R79_RS06155",305,282,477,381,526,365,1262,869,940,743,886,904,558,488,641,995,769,792
"C2R79_RS06160",779,719,1325,1098,1641,1052,9660,5586,7005,8430,8187,9628,4229,3830,4660,7326,5165,6371
"C2R79_RS06165",717,729,1296,1158,1625,1199,11321,6783,8059,7759,8569,9574,3895,3645,4633,4888,3782,3968
"C2R79_RS06170",3085,2967,5285,4432,5939,3882,12220,7217,8764,15654,16498,18949,5340,5228,6123,12985,9327,10843
"C2R79_RS06175",26,22,36,25,28,22,47,25,32,43,39,39,24,19,21,47,34,25
"C2R79_RS06180",192,167,271,144,167,130,331,210,252,286,289,316,160,121,171,201,124,136
"C2R79_RS06185",73,83,168,86,129,68,748,423,514,537,481,564,258,203,313,382,261,322
"C2R79_RS06190",200,173,330,155,213,139,881,528,636,912,938,1154,360,298,398,580,407,469
"C2R79_RS06195",1159,1136,2102,762,994,669,15068,10197,11363,7955,7278,8906,5653,5169,6323,5876,4984,5116
"C2R79_RS06200",98,107,176,91,112,95,840,500,596,434,486,452,220,267,296,194,133,157
"C2R79_RS06205",23,21,33,18,32,19,790,388,634,177,154,180,316,194,272,108,61,98
"C2R79_RS06210",5,3,10,2,7,5,70,55,56,16,17,7,31,39,38,11,19,12
"C2R79_RS06215",7,5,3,6,7,5,37,51,41,28,25,40,40,21,21,11,16,17
"C2R79_RS06225",6801,6392,11729,11529,16390,11017,13137,8309,9701,10137,9636,11174,5366,4907,6031,7454,5953,6182
"C2R79_RS06230",246,235,436,276,355,231,334,165,246,736,701,876,141,117,150,277,241,258
"C2R79_RS06235",80,109,134,162,197,127,970,550,623,435,467,507,348,309,406,304,247,283
"C2R79_RS06240",72,76,113,128,184,116,367,129,224,200,179,223,122,98,147,157,100,97
"C2R79_RS06245",854,862,1550,1737,2352,1617,1072,617,840,718,826,880,497,438,558,607,482,542
"C2R79_RS06250",1338,1286,2302,2539,3787,2375,2249,1307,1568,1732,1763,1953,851,817,1035,1021,753,788
"C2R79_RS06255",1306,1168,2256,1262,1641,1160,3974,2374,2793,4633,4493,4954,1456,1437,1668,2892,1952,2291
"C2R79_RS06260",1276,1177,2095,482,670,446,9809,5862,7045,10212,10322,11618,2869,2605,3331,4715,3605,3829
"C2R79_RS06265",494,463,875,447,565,404,1775,1129,1394,2005,1983,2099,707,610,750,946,630,735
"C2R79_RS06270",234,213,395,146,228,142,616,412,518,670,700,770,264,194,267,296,234,264
"C2R79_RS06275",54,45,89,31,29,20,18,5,7,20,13,12,3,5,8,5,1,8
"C2R79_RS06280",42782,40229,73064,48063,67965,46374,85868,52700,61721,77326,78202,88709,31456,28306,35547,50844,33903,40956
"C2R79_RS06285",49,43,81,169,254,157,673,413,513,1466,1314,1503,386,352,421,358,265,309
"C2R79_RS06290",758,681,1222,668,956,584,7363,4584,5460,5555,5833,6426,2683,2416,3146,2536,1830,2019
"C2R79_RS06295",0,0,0,0,0,0,9,7,12,10,4,12,6,4,6,3,5,4
"C2R79_RS06305",1,0,2,3,3,1,104,63,97,26,49,45,80,62,58,38,19,25
"C2R79_RS06310",26,33,50,22,34,22,201,122,170,131,104,117,110,68,151,107,85,87
"C2R79_RS06315",30,33,66,30,55,38,527,356,373,466,402,484,156,173,213,209,179,182
"C2R79_RS06320",233,196,331,82,160,114,2028,1341,1511,1395,1372,1473,777,681,898,879,681,742
"C2R79_RS06325",35,53,72,60,29,40,623,335,411,245,246,237,179,230,256,175,141,165
"C2R79_RS06330",44,36,62,53,103,48,13,7,6,6,8,7,7,4,4,3,2,3
"C2R79_RS06335",34,40,67,66,108,79,1185,746,914,372,420,436,419,381,515,221,179,213
"C2R79_RS06340",185,212,334,642,889,528,273,220,209,248,246,266,133,106,149,99,85,101
"C2R79_RS06350",4909,4503,8565,6529,9335,6539,1136,584,680,1806,1238,1459,374,295,407,549,317,417
"C2R79_RS06355",366,303,467,416,560,351,695,349,495,329,339,407,292,211,306,295,215,297
"C2R79_RS06360",79,88,153,35,62,33,21,11,15,19,14,16,6,12,13,13,15,12
"C2R79_RS06365",1,3,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,1
"C2R79_RS06370",665,627,1074,447,683,471,2186,1432,1665,2008,2111,2312,986,965,1116,2302,2330,2048
"C2R79_RS06375",151,124,223,105,164,79,205,177,144,160,127,143,77,78,99,85,98,92
"C2R79_RS06380",1,2,2,4,2,7,117,67,71,23,30,17,55,30,31,8,8,21
"C2R79_RS06390",127,117,224,138,197,100,179,92,122,181,180,189,68,52,72,140,90,141
"C2R79_RS06395",15,13,26,16,18,12,135,73,99,75,64,69,37,49,44,46,30,53
